IDIndikator;skrIndikator;IDTer;nTer;IDVrPod;nVrPod;nPol;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
18030802IND01;Пројекције становништва по општинама;RS228;Пчињска област;1;Базна популација - процене становништва средином 2011.  године;Укупно;203391;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70335;Босилеград;1;Базна популација - процене становништва средином 2011.  године;Укупно;8150;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70351;Бујановац;1;Базна популација - процене становништва средином 2011.  године;Укупно;38230;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70416;Владичин Хан;1;Базна популација - процене становништва средином 2011.  године;Укупно;20889;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;79057;Врање;1;Базна популација - процене становништва средином 2011.  године;Укупно;83551;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70963;Прешево;1;Базна популација - процене становништва средином 2011.  године;Укупно;27140;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71137;Сурдулица;1;Базна популација - процене становништва средином 2011.  године;Укупно;20313;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71161;Трговиште;1;Базна популација - процене становништва средином 2011.  године;Укупно;5118;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70262;Блаце;1;Базна популација - процене становништва средином 2011.  године;Укупно;11761;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70548;Житорађа;1;Базна популација - процене становништва средином 2011.  године;Укупно;16349;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70688;Куршумлија;1;Базна популација - процене становништва средином 2011.  године;Укупно;19243;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70998;Прокупље;1;Базна популација - процене становништва средином 2011.  године;Укупно;44479;A;Коначан податак;F;Слободан за објављивање;;
