IDIndikator;skrIndikator;IDTer;nTer;IDVrPod;nVrPod;nPol;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
18030802IND01;Пројекције становништва по општинама;80390;Србобран;1;Базна популација - процене становништва средином 2011.  године;Укупно;16331;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80411;Сремски Карловци;1;Базна популација - процене становништва средином 2011.  године;Укупно;8739;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80446;Темерин;1;Базна популација - процене становништва средином 2011.  године;Укупно;28287;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80454;Тител;1;Базна популација - процене становништва средином 2011.  године;Укупно;15753;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80462;Врбас;1;Базна популација - процене становништва средином 2011.  године;Укупно;42139;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80012;Ада;1;Базна популација - процене становништва средином 2011.  године;Укупно;17017;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80195;Кањижа;1;Базна популација - процене становништва средином 2011.  године;Укупно;25326;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80209;Кикинда;1;Базна популација - процене становништва средином 2011.  године;Укупно;59511;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80276;Нови Кнежевац;1;Базна популација - процене становништва средином 2011.  године;Укупно;11273;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80365;Сента;1;Базна популација - процене становништва средином 2011.  године;Укупно;23329;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80489;Чока;1;Базна популација - процене становништва средином 2011.  године;Укупно;11434;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80071;Бачка Топола;1;Базна популација - процене становништва средином 2011.  године;Укупно;33407;A;Коначан податак;F;Слободан за објављивање;;
