naziv, pib, grad, adresa, tip, broj_automata_ili_uplatnih_mesta 
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Стари Град, Краља Петра 38-42, аутомати, 27
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Стари Град, Призренска 11, аутомати, 19
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Стари Град, Ускочка 4-6, аутомати, 37
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Суботица, Трг Цара Јована Ненада 11, аутомати, 35
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Чајетина, Златибор, Језеро 1, аутомати, 26
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Чукарица, Кировљева 20, аутомати, 38
ADMIRA D.O.O. KRAGUJEVAC, 102172698, Шабац, Трг шабачких жртава бб, аутомати, 27
ADMIRAL PLUS D.O.O. NOVI PAZAR, 104917655, Гроцка, Винча, Смедеревски пут 3, аутомати, 9
ADMIRAL PLUS D.O.O. NOVI PAZAR, 104917655, Нови Пазар, Авноја ББ, аутомати, 40
ADMIRAL PLUS D.O.O. NOVI PAZAR, 104917655, Нови Пазар, Авноја ББ, улаз Л, аутомати, 19
ADMIRAL PLUS D.O.O. NOVI PAZAR, 104917655, Нови Пазар, Вељка Влаховића ББ, аутомати, 12
ADMIRAL PLUS D.O.O. NOVI PAZAR, 104917655, Рашка, Душанова 18, аутомати, 25
ADRIA GAMING D.O.O. BEOGRAD, 110296541, Врачар, Булевар Краља Александра 60, аутомати, 23
ADRIA GAMING D.O.O. BEOGRAD, 110296541, Звездара, Булевар Краља Александра 206, аутомати, 45
ADRIA GAMING D.O.O. BEOGRAD, 110296541, Стари Град, Маршала Бирјузова 3-5, аутомати, 35
AGT+LIMITED D.O.O. BEOGRAD, 104377804, Земун, Војни пут ИИ бр. 57, аутомати, 11
AGT+LIMITED D.O.O. BEOGRAD, 104377804, Земун, Прве Пруге 37Р, аутомати, 21
AGT+LIMITED D.O.O. BEOGRAD, 104377804, Земун, Првомајска 108 а, аутомати, 36
AGT+LIMITED D.O.O. BEOGRAD, 104377804, Земун, Првомајска 36И, аутомати, 13
AGT+LIMITED D.O.O. BEOGRAD, 104377804, Јагодина, Кнеза Лазара 34, аутомати, 10
AGT+LIMITED D.O.O. BEOGRAD, 104377804, Нови Београд, Јурија Гагарина 33б, аутомати, 38
AGT+LIMITED D.O.O. BEOGRAD, 104377804, Нови Београд, Палмира Тољатија бр. 5, лок. Б+Ц, аутомати, 59
AGT+LIMITED D.O.O. BEOGRAD, 104377804, Раковица, Славка Миљковића 100, аутомати, 19
AGT+LIMITED D.O.O. BEOGRAD, 104377804, Раковица, Челебићка 14 а, аутомати, 21
AGT+LIMITED D.O.O. BEOGRAD, 104377804, Суботица, Корзо (Б.Кидрича) бр. 1, аутомати, 7
AGT+LIMITED D.O.O. BEOGRAD, 104377804, Суботица, Корзо 15, аутомати, 18
AGT+LIMITED D.O.O. BEOGRAD, 104377804, Чачак, Синђелићева бр. 27, аутомати, 25
ALEACOM D.O.O. PIROT, 104395599, Бабушница, Живојина Николића-Брке бб, аутомати, 7
ALEACOM D.O.O. PIROT, 104395599, Димитровград, Балканска бр. 9, аутомати, 7
ALEACOM D.O.O. PIROT, 104395599, Зајечар, Његошева бр. 4, аутомати, 22
ALEACOM D.O.O. PIROT, 104395599, Кладово, Краља Александра бр. 42, аутомати, 22
ALEACOM D.O.O. PIROT, 104395599, Крушевац, Видовданска бр. 48, аутомати, 26
ALEACOM D.O.O. PIROT, 104395599, Неготин, Стефаније Михајловић бр. 3, аутомати, 30
ALEACOM D.O.O. PIROT, 104395599, Пирот, Николе Пашића бр. 52, аутомати, 9
ALEACOM D.O.O. PIROT, 104395599, Пирот, Српских владара бр. 75, аутомати, 15
ALEACOM D.O.O. PIROT, 104395599, Пирот, Т.Ц. лок.бр.5, ул. Добрице Милутиновића, аутомати, 13
ALEACOM D.O.O. PIROT, 104395599, Пирот, Трг Пиротских ослободилаца бб, аутомати, 16
ALEACOM D.O.O. PIROT, 104395599, Пирот, Ћирила и Методија бр. 9, аутомати, 11
ALFA GAME D.O.O. BEOGRAD, 100118540, Апатин, Сонта,Вука Караџића 21, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Бабушница, Живојина Николића-Брке бр. 5, аутомати, 8
ALFA GAME D.O.O. BEOGRAD, 100118540, Бачка Паланка, Жарка Зрењанина 37, аутомати, 24
ALFA GAME D.O.O. BEOGRAD, 100118540, Бачка Паланка, Карађорђево, Краља Петра И, кат. пар. 4557/5 и 3030/6 КО Младенов, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Богатић, Бадовинци, Васе Чарапића 17, аутомати, 6
ALFA GAME D.O.O. BEOGRAD, 100118540, Бор, Ђорђа Вајферта 7, аутомати, 12
ALFA GAME D.O.O. BEOGRAD, 100118540, Бор, Николе Пашића 14 П, аутомати, 16
ALFA GAME D.O.O. BEOGRAD, 100118540, Ваљево, Вука Караџића 29, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Ваљево, Кнеза Михаила 1, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Врачар, Цара Николаја ИИ  11, аутомати, 6
ALFA GAME D.O.O. BEOGRAD, 100118540, Димитровград, Балканска 41, аутомати, 6
ALFA GAME D.O.O. BEOGRAD, 100118540, Димитровград, Магистрални пут 64, Гранични прелаз-Градина, К.П. 3159/12, аутомати, 8
ALFA GAME D.O.O. BEOGRAD, 100118540, Жагубица, Кат. пар. 683 К.О. Жагубица, аутомати, 11
ALFA GAME D.O.O. BEOGRAD, 100118540, Жагубица, Крепољин, Цара Лазара 33, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Зрењанин, Бригадира Ристића 25, аутомати, 7
ALFA GAME D.O.O. BEOGRAD, 100118540, Зрењанин, Меленци, Српских Владара 78, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Зрењанин, Трг Др.Зорана Ђинђића 3, аутомати, 34
ALFA GAME D.O.O. BEOGRAD, 100118540, Јагодина, Максима Горког 1/1, аутомати, 26
ALFA GAME D.O.O. BEOGRAD, 100118540, Јагодина, С.Првовенчаног, Т.Ц. ЈАСА Ј2 лок. 1, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Књажевац, Књаза Милоша 14, аутомати, 6
ALFA GAME D.O.O. BEOGRAD, 100118540, Косјерић, Карађорђева 45, аутомати, 8
ALFA GAME D.O.O. BEOGRAD, 100118540, Лозница, Трг Вука Караџића  бб, аутомати, 14
ALFA GAME D.O.O. BEOGRAD, 100118540, Мионица, Др. Јове Алексић кат.прц. 155, аутомати, 10
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Бечеј, Кумане, Љубице Одаџић 52, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, 37. Санџачке дивизије  124д, аутомати, 6
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, АВНОЈ-а 115, аутомати, 40
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, АВНОЈА-а 2, аутомати, 11
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, Вељка Влаховића 16 А, аутомати, 23
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, Др. Ејупа Мушовића 29г, аутомати, 12
