naziv, pib, grad, adresa, tip, broj_automata_ili_uplatnih_mesta 
COLOSSEUM GAME D.O.O. VRANJE, 104003661, Трстеник, Цара Душана 5, аутомати, 23
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Ада, Саве Ковачевића бб, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Ада, Саве Ковачевића бб, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Алексинац, Житковац, Ратка Јовића 60, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Алексинац, Житковац, Ратка Јовића 60, аутомати, 12
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Алексинац, Књаза Милоша ББ, аутомати, 18
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Алексинац, Књаза Милоша, зграда 1, улаз бр. 10, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Апатин, Трг Николе Тесле 11, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Апатин, Трг Николе Тесле 11, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Аранђеловац, Кнеза Михаила 51б, аутомати, 9
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Аранђеловац, Кнеза Михаила 51б, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Аранђеловац, Књаза Милоша 49, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Аранђеловац, Књаза Милоша 49, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бабушница, Живојина Николића Брке 17, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бабушница, Живојина Николића Брке 17, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бач, Братства и јединства 10, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бач, Братства и јединства 10, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бачка Паланка, Жарка Зрењанина 41, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бачка Паланка, Жарка Зрењанина 41, аутомати, 10
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бачка Топола, Главна 22, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бачка Топола, Главна 22, аутомати, 12
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бачки Петровац, Коларова 21, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бачки Петровац, Коларова бр. 21, аутомати, 9
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бела Паланка, Српских владара 9, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бела Паланка, Српских владара 9, аутомати, 15
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бела Црква, Првог октобра 63, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бела Црква, Првог октобра 63, аутомати, 14
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Беочин, Светосавска 19, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Беочин, Светосавска 19, аутомати, 10
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бечеј, Зелена 70, к.п. 4891/2, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бечеј, Зелена 70, к.п. 4891/2, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Блаце, Светог Саве 1, к.п. 2620/4, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Блаце, Светог Саве 1, кат.парцела бр. 2620/4, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Брус, Краља Петра И бб, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Брус, Краља Петра И бб, аутомати, 14
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бујановац, Карађорђа Петровића 104, аутомати, 7
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бујановац, Карађорђа Петровића 104, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бујановац, Карађорђа Петровића бб,  к.п.458/5 и 458/4 КО Бујановац, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бујановац, Карађорђа Петровића бб, кп.458/4 и 548/5, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бујановац, Косовска 125, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бујановац, Косовска 125, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бујановац, Село Биљача, Нема улице бб, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бујановац, Село Биљача, Нема улице бб, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бујановац, Трг Братства и Јединства 101, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Бујановац, Трг Братства и Јединства 101, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Варварин, Јове Курсуле 38, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Варварин, Јове Курсуле 38, аутомати, 7
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Владичин Хан, Светосавска 59, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Владичин Хан, Светосавска 59; к.п. 94/1, аутомати, 10
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Власотинце, Немањина 74, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Власотинце, Немањина бр. 74, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Браће Јерковић 123в, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Браће Јерковић 123в, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Браће Срнића 3б, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Браће Срнића 3б, аутомати, 9
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Војводе Степе 184, аутомати, 9
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Војводе Степе 184, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Господара Вучића 176а, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Господара Вучића 176а, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Паунова 48, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Паунова 48, аутомати, 15
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Саве Машковића 7, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Саве Машковића 7, аутомати, 15
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Тимочке дивизије 2, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Тимочке дивизије 2, аутомати, 11
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Устаничка 234, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вождовац, Устаничка 234, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врање, Лењинова 26, аутомати, 7
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врање, Лењинова 26, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врање, Македонска 2, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врање, Македонска 2, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врање, Партизански пут 42, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врање, Партизански пут 42, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врачар, Београдска 39, аутомати, 12
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врачар, Београдска 39, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врачар, Булевар ослобођења 17, аутомати, 25
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врачар, Булевар ослобођења 17, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врачар, Краља Милана 31, аутомати, 17
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врачар, Краља Милана 31, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врачар, Максима Горког 73, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врачар, Максима Горког 73, аутомати, 14
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врачар, Мачванска 3, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врачар, Милешевска 69, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врачар, Милешевска 69, аутомати, 17
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врачар, Његошева 54, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врачар, Његошева 54, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врбас, Змајево, Иве Лоле Рибара 7, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врбас, Змајево, Иве Лоле Рибара 7, аутомати, 9
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врњачка Бања, Кнеза Милоша 33, кат. парцела 390/30, КО Врњачка Бања, аутомати, 29
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врњачка Бања, Кнеза Милоша 33, кат. парцела 390/30, КО Врњачка Бања, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врњачка Бања, Немањина 1б, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Врњачка Бања, Немањина 1б, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вршац, Милоша Обилића 14, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вршац, Милоша Обилића 14, аутомати, 16
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вршац, Стевана Немање 48, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Вршац, Стевана Немање 48, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Гроцка, Калуђерица, Душана Петровића Шанета 1, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Гроцка, Калуђерица, Душана Петровића-Шанета 1, аутомати, 16
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Гроцка, Лештане, Смедеревски пут 6а, аутомати, 14
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Гроцка, Лештане, Смедеревски пут 6а, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Димитровград, Балканска 24, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Димитровград, Баллканска 24, аутомати, 7
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Дољевац, Катастарска парцела 2728/1, КО Дољевац, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Дољевац, Катастарска парцела 2728/1, КО Дољевац, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Жабаљ, Ђурђево, Краља Петра И 67, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Жабаљ, Ђурђево, Краља Петра И 67, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Жабаљ, Николе Тесле 52, аутомати, 15
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Жабаљ, Николе Тесле 52, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Жабаљ, Чуруг, Краља Петра И бб, кат. парцела 4044, КО Чуруг, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Жабаљ, Чуруг, Краља Петра И бб, кат. парцела 4044, КО Чуруг, аутомати, 9
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Житорађа, Топлички хероји 16а, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Житорађа, Топличких хероја 16а, аутомати, 10
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Будманијева 1, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Будманијева 1, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Булевар Краља Александра 115, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Булевар Краља Александра 115, аутомати, 22
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Булевар Краља Александра 228, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Булевар Краља Александра 228, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Булевар краља Александра 319, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Булевар краља Александра 319, аутомати, 10
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Булевар Краља Александра 336, аутомати, 9
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Булевар Краља Александра 336, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Витезова Карађорђеве звезде 93, аутомати, 10
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Витезова Карађорђеве звезде 93, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Војислава Илића 21-23, аутомати, 15
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Димитрија Туцовића 69, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Димитрија Туцовића 69, аутомати, 10
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Косте Нађа 10а, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Косте Нађа 10а, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Љубише Миодраговића 43б, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Љубише Миодраговића 43б, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Улофа Палмеа 7а, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Звездара, Улофа Палмеа 7а, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Алтина, Угриновачки пут 3 део 2, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Алтина, Угриновачки пут 3 део 2, аутомати, 24
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Батајница, Мајора Зорана Радосављевића 228а, аутомати, 10
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Батајница, Мајора Зорана Радосављевића 228а, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Батајница, Царице Јелене 69, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Батајница, Царице Јелене 69, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Вртларска 55, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Вртларска 55, аутомати, 7
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Првомајска 118ц, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Првомајска 118ц, аутомати, 10
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Првомајска 36а, аутомати, 28
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Првомајска 36а, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Трг Бранка Радичевића 5, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Трг Бранка Радичевића 5, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Угриновачка 134, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Земун, Угриновачка 134, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Зрењанин, Булевар Вељка Влаховића бб, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Зрењанин, Булевар Вељка Влаховића бб, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Зрењанин, Војводе Петра Бојовића 2а, к.п. 6638/4, КО Зрењанин, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Зрењанин, Војводе Петра Бојовића 2а, катстарска парцела 6638/4, КО Зрењ, аутомати, 13
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Зрењанин, Гимназијска 16, аутомати, 15
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Зрењанин, Ђуре Јакшића 45, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Зрењанин, Ђуре Јакшића 45, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Зрењанин, Лазарево, Жарка Зрењанина бб, к.п. 1698/1, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Зрењанин, Лазарево, Жарка Зрењанина бб, кат. парцела 1698/1, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Инђија, Бешка, Краља Петра И 21, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Инђија, Бешка, Краља Петра И 21, аутомати, 10
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Јагодина, Краља Петра И 7, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Јагодина, Краља Петра И 7, аутомати, 9
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Јагодина, Сутјеска 18, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Јагодина, Сутјеска 18, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Кањижа, Главна 9, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Кањижа, Хоргош, Велика 5, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Кањижа, Хоргош, Велика 5, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Кикинда, Немањина 9, аутомати, 9
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Кикинда, Немањина 9, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Кикинда, Светосавска 112, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Кикинда, Светосавска 112, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Књажевац, Али Агићева 1, кп. 545 КО Књажевац, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Књажевац, Али Агићева 1, кп. 545 КО Књажевац, аутомати, 11
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Ковачица, ЈНА 59а, лок. 1, к.п. 1086, КО Ковачица, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Ковачица, ЈНА 59а, лок. 1, катастарска парцела 1086, КО Ковачица, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Косјерић, Карађорђева 70, аутомати, 15
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Косјерић, Карађорђева 70, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Војвођанска 15, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Војвођанска 15, аутомати, 10
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Др. Јована Ристића 232, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Др. Јована Ристића 232, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Др. Јована Ристића 3, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Др. Јована Ристића 3, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Драгана Симића 1, аутомати, 26
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Драгана Симића бр. 1, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Драге Тодоровић 18, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Драге Тодоровић 18, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Јосифа Шнерсона 8а, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Јосифа Шнерсона 8а, аутомати, 9
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Кнез Михаила 113б, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Кнеза Михаила 113б, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Партизанских курира 64, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крагујевац, Партизанских курира 64, аутомати, 9
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Краљево, Јована Дерока 18б, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Краљево, Јована Дерока 18б, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Краљево, Карађорђева 33, к.п. бр. 909 КО Краљево, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Краљево, Карађорђева бр. 33, к.п. 909 КО Краљево, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Краљево, Милоша Великог 50, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Краљево, Милоша Великог 50, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Краљево, Ратка Кочовића 4, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Краљево, Ратка Кочовића 4, аутомати, 7
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Краљево, Цара Душана 60а, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Краљево, Цара Душана 60а, аутомати, 28
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крушевац, Душанова 76, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крушевац, Душанова 76, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крушевац, Трг Косовских јунака бб, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крушевац, Трг Косовских јунака бб, аутомати, 38
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крушевац, Трг Костурница 64, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крушевац, Трг Костурница 64, аутомати, 25
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крушевац, Угао Косовска 99 и Достојевског 67, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крушевац, Угао улица Косовска 99 и Достојевског 67, аутомати, 26
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крушевац, Цара Лазара 256, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Крушевац, Цара Лазара 256, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Кула, Ђуре Стругара 2, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Кула, Ђуре Стругара 2, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Кула, Јосипа Крамера 5, аутомати, 14
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Кула, Сивац, Маршала Тита 152, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Кула, Сивац, Маршала Тита 152, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Куршумлија, Карађорђева 19, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Куршумлија, Карађорђева 19, аутомати, 8
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Лазаревац, Бранка Радичевића 12, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Лазаревац, Бранка Радичевича 12, аутомати, 5
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Лазаревац, Др. Ђорђа Ковачевића 3, аутомати, 6
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Лазаревац, Ђорђа Ковачевића 3, кладионица, 1
DAN PLUS INTERNATIONAL D.O.O. NOVI SAD, 102233977, Лазаревац, Краља Петра И 31, кладионица, 1
